Reynolds,Alpha,Cl,Cd
50000,-0.148352986,-0.4124,0.09868
50000,-0.143989663,-0.4121,0.09574
50000,-0.135263017,-0.5569,0.07132
50000,-0.130899694,-0.5864,0.06278
50000,-0.126536371,-0.5842,0.05855
50000,-0.122173048,-0.5854,0.05412
50000,-0.117809725,-0.5839,0.04991
50000,-0.113446401,-0.5787,0.04598
50000,-0.109083078,-0.5695,0.04233
50000,-0.104719755,-0.5571,0.03904
50000,-0.100356432,-0.539,0.03725
50000,-0.095993109,-0.5221,0.03502
50000,-0.091629786,-0.5027,0.03319
50000,-0.087266463,-0.4827,0.0314
50000,-0.082903139,-0.462,0.03
50000,-0.078539816,-0.4411,0.02879
50000,-0.074176493,-0.4199,0.02773
50000,-0.06981317,-0.3983,0.02669
50000,-0.065449847,-0.3765,0.02576
50000,-0.061086524,-0.3545,0.02487
50000,-0.056723201,-0.332,0.02402
50000,-0.052359878,-0.3108,0.02326
50000,-0.047996554,-0.2902,0.02263
50000,-0.043633231,-0.2718,0.02208
50000,-0.039269908,-0.2578,0.0216
50000,-0.034906585,-0.2485,0.02133
50000,-0.030543262,-0.1469,0.02166
50000,-0.026179939,-0.1502,0.02143
50000,-0.021816616,-0.1389,0.0216
50000,-0.017453293,-0.1244,0.02191
50000,-0.013089969,-0.1086,0.02233
50000,-0.008726646,-0.0922,0.02284
50000,-0.004363323,-0.0756,0.02341
50000,0,-0.0589,0.02406
50000,0.004363323,-0.0109,0.02515
50000,0.008726646,0.045,0.0263
50000,0.013089969,0.0927,0.02724
50000,0.017453293,0.1375,0.0281
50000,0.021816616,0.1811,0.02891
50000,0.026179939,0.2231,0.02966
50000,0.030543262,0.2633,0.03035
50000,0.034906585,0.3025,0.03099
50000,0.039269908,0.3408,0.03158
50000,0.043633231,0.3785,0.03212
50000,0.047996554,0.4157,0.03261
50000,0.052359878,0.4528,0.03304
50000,0.056723201,0.4905,0.03336
50000,0.061086524,0.5281,0.03358
50000,0.065449847,0.5639,0.03371
50000,0.06981317,0.599,0.03375
50000,0.074176493,0.6342,0.03367
50000,0.078539816,0.67,0.03344
50000,0.082903139,0.7067,0.03304
50000,0.087266463,0.7429,0.03256
50000,0.091629786,0.7613,0.03315
50000,0.095993109,0.7935,0.03277
50000,0.100356432,0.8345,0.03161
50000,0.104719755,0.8567,0.03159
50000,0.109083078,0.8858,0.03097
50000,0.113446401,0.9139,0.03048
50000,0.117809725,0.9384,0.03029
50000,0.122173048,0.9598,0.03027
50000,0.126536371,0.9816,0.03017
50000,0.130899694,0.996,0.03062
50000,0.135263017,1.0111,0.03129
50000,0.13962634,1.0252,0.03245
50000,0.143989663,1.0412,0.03394
50000,0.148352986,1.0592,0.03571
50000,0.15271631,1.0779,0.03769
50000,0.157079633,1.0969,0.03979
50000,0.161442956,1.1165,0.04201
50000,0.165806279,1.1354,0.04445
50000,0.170169602,1.1471,0.04737
50000,0.174532925,1.1591,0.04997
50000,0.178896248,1.1743,0.05308
50000,0.183259571,1.1677,0.05686
50000,0.187622895,1.1563,0.06085
50000,0.191986218,1.1391,0.0651
50000,0.196349541,1.1121,0.06964
50000,0.200712864,1.076,0.07509
50000,0.205076187,1.0357,0.08206
50000,0.20943951,1.0001,0.09021
50000,0.213802833,0.8261,0.12916
50000,0.218166156,0.8419,0.13272
